NDOC;HRP5;HRP5_1B;ASSALARIADO
1177;2032.06;1969.27;S
1178;1233.04;1352.81;N
1179;3821.72;3821.72;S
1180;1478.25;1478.25;S
1181;3259.86;1924.04;N
1182;7937.46;63.97;N
1183;4051.71;4810.76;S
1184;1880.99;1269.88;N
1185;3350.25;4413.75;N
1186;568.62;626.69;N
1187;2291.89;1960.15;S
1188;15528.24;17982.68;S
1189;1252.77;1285.90;S
1190;1745.96;1667.50;N
1191;1748.68;2420.18;N
1192;820.43;860.04;N
1193;1390.85;1390.85;S
1194;2153.50;2197.78;N
1195;2836.50;2304.79;S
1196;1052.42;1052.42;S
1197;4857.64;4893.72;N
1198;1192.15;1711.00;N
1199;167.05;309.97;N
1200;541.70;729.57;S
1201;1316.24;1355.83;S
1202;1067.33;1164.56;N
1203;1990.53;3024.06;S
1204;2677.90;2205.86;N
1205;1851.55;1662.51;N
1206;2232.43;2692.03;S
1207;1737.91;1521.30;N
1208;204.39;204.39;S
1209;2945.88;2690.52;N
1210;1977.57;1949.46;N
1211;539.31;415.04;S
1212;2381.49;2268.10;N
1213;634.37;634.37;S
1214;592.63;650.28;S
1215;1721.67;1996.99;N
1216;2271.86;3672.95;S
1217;1505.29;1288.86;S
1218;1854.04;2270.43;S
1219;1463.65;1203.05;N
1220;1154.72;1154.72;S
1221;1725.35;2308.04;S
1222;1641.05;1733.00;S
1223;2194.23;2782.76;S
1224;1688.49;1047.31;S
1225;813.13;500.43;S
1226;1681.07;923.86;S
1227;4288.79;3970.49;S
1228;422.94;625.26;S
1229;1307.98;1507.18;N
1230;3688.79;3688.79;N
1231;6989.85;696.32;N
1232;2733.04;2733.04;S
1233;2198.02;2198.02;S
1234;1814.37;1814.37;N
1235;759.16;816.26;S
1236;3332.25;2798.77;N
1237;1672.80;1672.80;S
1238;3014.45;3492.76;S
1239;2986.90;3686.40;S
1240;1890.15;1936.97;S
1241;356.03;571.85;S
1242;5694.32;6402.19;N
1243;1618.35;1122.86;N
1244;9063.10;9063.10;N
